Country,Region
Lao People's Democratic Republic,East Asia
Saint Kitts and Nevis,Caribbean
Puerto Rico,Caribbean
Antigua and Barbuda,Caribbean
Finland,Western Europe
Sao Tome and Principe,Central Sub-Saharan Africa
Republic of Korea,East Asia
Rwanda,Eastern Sub-Saharan Africa
Bahrain,North Africa and Middle East
Eswatini,Southern Sub-Saharan Africa
Northern Mariana Islands,Oceania
Gambia,Western Sub-Saharan Africa
Liberia,Western Sub-Saharan Africa
Guatemala,Central Latin America
Andorra,Western Europe
New Zealand,Australasia
Cabo Verde,Southern Sub-Saharan Africa
Angola,Southern Sub-Saharan Africa
Nauru,Oceania
Uganda,Eastern Sub-Saharan Africa
Monaco,Western Europe
Egypt,North Africa and Middle East
Kyrgyzstan,Central Asia
Mali,Western Sub-Saharan Africa
Azerbaijan,Central Asia
Italy,Southern Europe
Brazil,Tropical Latin America
Bermuda,North America
Guinea-Bissau,Western Sub-Saharan Africa
Palau,Oceania
Netherlands,Western Europe
Namibia,Southern Sub-Saharan Africa
United States of America,North America
Greenland,North America
Cameroon,Central Sub-Saharan Africa
Jordan,North Africa and Middle East
Madagascar,Eastern Sub-Saharan Africa
Belarus,Eastern Europe
Marshall Islands,Oceania
Bolivia,Andean Latin America
Malaysia,Southeast Asia
San Marino,Southern Europe
Sri Lanka,South Asia
Indonesia,Southeast Asia
Jamaica,Caribbean
Democratic People's Republic of Korea,East Asia
Côte d'Ivoire,Western Sub-Saharan Africa
Uzbekistan,Central Asia
Germany,Western Europe
Philippines,Southeast Asia
Cuba,Caribbean
Lithuania,Eastern Europe
Iceland,Northern Europe
Senegal,Western Sub-Saharan Africa
United States Virgin Islands,Caribbean
Barbados,Caribbean
Kuwait,North Africa and Middle East
Cyprus,Southern Europe
Hungary,Central Europe
Malawi,Central Sub-Saharan Africa
Switzerland,Western Europe
Estonia,Northern Europe
Palestine,North Africa and Middle East
Algeria,North Africa and Middle East
Comoros,Eastern Sub-Saharan Africa
Ecuador,Tropical Latin America
Nigeria,Western Sub-Saharan Africa
Samoa,Oceania
El Salvador,Central Latin America
North Macedonia,Central Europe
Malta,Southern Europe
Mongolia,East Asia
Bahamas,Caribbean
Bosnia and Herzegovina,Central Europe
Lebanon,North Africa and Middle East
Montenegro,Central Europe
Ethiopia,Eastern Sub-Saharan Africa
Saudi Arabia,North Africa and Middle East
Iraq,North Africa and Middle East
American Samoa,Oceania
Chad,Central Sub-Saharan Africa
Australia,Australasia
Mauritius,Eastern Sub-Saharan Africa
Belize,Central Latin America
United Kingdom,Western Europe
Mexico,Tropical Latin America
Albania,Southern Europe
Myanmar,Southeast Asia
Sierra Leone,Western Sub-Saharan Africa
Sweden,Northern Europe
Viet Nam,Southeast Asia
Honduras,Central Latin America
Kenya,Eastern Sub-Saharan Africa
Nicaragua,Central Latin America
Ukraine,Eastern Europe
Trinidad and Tobago,Caribbean
Syrian Arab Republic,North Africa and Middle East
China,East Asia
Argentina,Southern Latin America
Brunei Darussalam,Southeast Asia
Fiji,Australasia
Solomon Islands,Oceania
Armenia,Central Asia
Kiribati,Oceania
Serbia,Central Europe
Peru,Andean Latin America
United Republic of Tanzania,Eastern Sub-Saharan Africa
Democratic Republic of the Congo,Central Sub-Saharan Africa
Czechia,Central Europe
Libya,North Africa and Middle East
Burkina Faso,Western Sub-Saharan Africa
India,South Asia
Maldives,South Asia
Croatia,Southern Europe
Tuvalu,Oceania
Austria,Western Europe
Botswana,Southern Sub-Saharan Africa
Dominica,Caribbean
Greece,Southern Europe
Timor-Leste,Southeast Asia
United Arab Emirates,North Africa and Middle East
Equatorial Guinea,Central Sub-Saharan Africa
Israel,North Africa and Middle East
Qatar,North Africa and Middle East
Uruguay,Southern Latin America
Zimbabwe,Southern Sub-Saharan Africa
Tonga,Oceania
Tokelau,Oceania
Poland,Eastern Europe
Suriname,Tropical Latin America
Canada,North America
Bulgaria,Eastern Europe
Afghanistan,South Asia
Central African Republic,Central Sub-Saharan Africa
Togo,Western Sub-Saharan Africa
Burundi,Eastern Sub-Saharan Africa
Republic of Moldova,Eastern Europe
Saint Vincent and the Grenadines,Caribbean
Sudan,North Africa and Middle East
Slovenia,Southern Europe
Guyana,Tropical Latin America
South Sudan,Eastern Sub-Saharan Africa
Haiti,Caribbean
Tunisia,North Africa and Middle East
Ireland,Western Europe
Latvia,Northern Europe
Niue,Oceania
Slovakia,Central Europe
Mozambique,Eastern Sub-Saharan Africa
Gabon,Central Sub-Saharan Africa
Somalia,Eastern Sub-Saharan Africa
Guinea,Western Sub-Saharan Africa
Thailand,Southeast Asia
Norway,Northern Europe
France,Western Europe
Grenada,Caribbean
Benin,Western Sub-Saharan Africa
Dominican Republic,Caribbean
Luxembourg,Western Europe
Belgium,Western Europe
Japan,East Asia
Bhutan,South Asia
Turkmenistan,Central Asia
Morocco,North Africa and Middle East
Tajikistan,Central Asia
Georgia,Central Asia
Yemen,North Africa and Middle East
Spain,Southern Europe
Oman,North Africa and Middle East
Saint Lucia,Caribbean
Papua New Guinea,Australasia
Turkey,North Africa and Middle East
Cook Islands,Oceania
Eritrea,North Africa and Middle East
Venezuela,Tropical Latin America
Bangladesh,South Asia
Congo,Central Sub-Saharan Africa
Ghana,Western Sub-Saharan Africa
Romania,Eastern Europe
Pakistan,South Asia
Denmark,Northern Europe
Singapore,Southeast Asia
Lesotho,Southern Sub-Saharan Africa
Colombia,Tropical Latin America
Panama,Tropical Latin America
Cambodia,Southeast Asia
Seychelles,Eastern Sub-Saharan Africa
Mauritania,North Africa and Middle East
Niger,Western Sub-Saharan Africa
Iran,North Africa and Middle East
Chile,Southern Latin America
Nepal,South Asia
Russian Federation,Eastern Europe
South Africa,Southern Sub-Saharan Africa
Djibouti,North Africa and Middle East
Zambia,Southern Sub-Saharan Africa
Portugal,Southern Europe
Taiwan,East Asia
Guam,Oceania
Kazakhstan,Central Asia
Micronesia,Oceania
Costa Rica,Tropical Latin America
Paraguay,Tropical Latin America
Vanuatu,Australasia
